town,office,district,party,candidate,votes
Scituate,Town Moderator TOWN OF SCITUATE,,REP,David M. Dagostino,3289
Scituate,Town Moderator TOWN OF SCITUATE,,DEM,John C. Tessitore,1839
Scituate,Town Moderator TOWN OF SCITUATE,,Ind,Steven A. Venditelli,1004
Scituate,Town Moderator TOWN OF SCITUATE,,NON,WRITE-IN,10
Scituate,Director Of Public Welfare TOWN OF SCITUATE,,REP,"Joseph Adam Steiner, III",4935
Scituate,Director Of Public Welfare TOWN OF SCITUATE,,NON,WRITE-IN,92
Scituate,Board Of Assessment Review TOWN OF SCITUATE,,DEM,Joseph J. DeAngelis,4328
Scituate,Board Of Assessment Review TOWN OF SCITUATE,,NON,WRITE-IN,189
Scituate,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,4051
Scituate,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,2282
Scituate,2. Constitution of the State of Rhode Island &amp; Prov,,NON,Reject,3255
Scituate,2. Constitution of the State of Rhode Island &amp; Prov,,NON,Approve,2762
Smithfield,President,,REP,Donald J. Trump,5744
Smithfield,President,,DEM,Joseph R. Biden,5566
Smithfield,President,,Lib,Jo Jorgensen,118
Smithfield,President,,NON,WRITE-IN,56
Smithfield,President,,All,Roque &quot;Rocky&quot; De La Fuente,20
Smithfield,President,,S&L,Gloria La Riva,13
Smithfield,President,,AS,Brian Carroll,11
Smithfield,U.S. Senate,,DEM,John F. Reed,6453
Smithfield,U.S. Senate,,REP,Allen R. Waters,4684
Smithfield,U.S. Senate,,NON,WRITE-IN,9
Smithfield,U.S. House,1,DEM,David N. Cicilline,6016
Smithfield,U.S. House,1,Ind,Frederick Wysocki,2510
Smithfield,U.S. House,1,Ind,Jeffrey Edward Lemire,2065
Smithfield,U.S. House,1,NON,WRITE-IN,91
Smithfield,State Senate,22,DEM,Stephen R. Archambault,5381
Smithfield,State Senate,22,REP,Paul M. Santucci,5022
Smithfield,State Senate,22,Ind,Stephen G. Tocco,740
Smithfield,State Senate,22,NON,WRITE-IN,28
Smithfield,State House,44,DEM,Gregory J. Costantino,3929
Smithfield,State House,44,NON,WRITE-IN,207
Smithfield,State House,53,DEM,Bernard A. Hawkins,2850
Smithfield,State House,53,REP,Brian J. Rea,2679
Smithfield,State House,53,NON,WRITE-IN,15
Smithfield,Town Council TOWN OF SMITHFIELD,,DEM,David P. Tikoian,5862
Smithfield,Town Council TOWN OF SMITHFIELD,,DEM,Suzanna L. Alba,5574
Smithfield,Town Council TOWN OF SMITHFIELD,,DEM,Sean M. Kilduff,5049
Smithfield,Town Council TOWN OF SMITHFIELD,,DEM,T. Michael Lawton,4934
Smithfield,Town Council TOWN OF SMITHFIELD,,DEM,Angelica L. Bovis,4587
Smithfield,Town Council TOWN OF SMITHFIELD,,REP,Marina R. Emin,4535
Smithfield,Town Council TOWN OF SMITHFIELD,,REP,"Philip G. Hirons, Jr.",4412
Smithfield,Town Council TOWN OF SMITHFIELD,,REP,Rosanne Morales,3992
Smithfield,Town Council TOWN OF SMITHFIELD,,REP,James W. Archer,3989
Smithfield,Town Council TOWN OF SMITHFIELD,,REP,Zofia Grzegorzewska,3509
Smithfield,Town Council TOWN OF SMITHFIELD,,NON,WRITE-IN,75
Smithfield,School Committee TOWN OF SMITHFIELD,,DEM,Anthony J. Torregrossa,5554
Smithfield,School Committee TOWN OF SMITHFIELD,,DEM,Benjamin W. Caisse,4765
Smithfield,School Committee TOWN OF SMITHFIELD,,REP,Kellie Ann Heenan,4713
Smithfield,School Committee TOWN OF SMITHFIELD,,REP,Michelle Manning Pereira,4245
Smithfield,School Committee TOWN OF SMITHFIELD,,NON,WRITE-IN,35
Smithfield,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,5940
Smithfield,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,4241
Smithfield,2. TOWN COUNCIL TOWN OF SMITHFIELD,,NON,Reject,6412
Smithfield,2. TOWN COUNCIL TOWN OF SMITHFIELD,,NON,Approve,4038
Smithfield,"3. VACANCIES, FORFEITURE OF OFFICE, FILLING OF VACANCIES",,NON,Approve,5790
Smithfield,"3. VACANCIES, FORFEITURE OF OFFICE, FILLING OF VACANCIES",,NON,Reject,4354
Smithfield,4. FINANCE DEPARTMENT TOWN OF SMITHFIELD,,NON,Reject,5865
Smithfield,4. FINANCE DEPARTMENT TOWN OF SMITHFIELD,,NON,Approve,4271
Smithfield,5. FINANCE DEPARTMENT TOWN OF SMITHFIELD,,NON,Approve,7576
Smithfield,5. FINANCE DEPARTMENT TOWN OF SMITHFIELD,,NON,Reject,2513
Smithfield,6. FINANCE DEPARTMENT TOWN OF SMITHFIELD,,NON,Approve,7758
Smithfield,6. FINANCE DEPARTMENT TOWN OF SMITHFIELD,,NON,Reject,2284
Smithfield,7. FIRE DEPARTMENT TOWN OF SMITHFIELD,,NON,Approve,8277
Smithfield,7. FIRE DEPARTMENT TOWN OF SMITHFIELD,,NON,Reject,2174
Smithfield,8. TOWN SOLICITOR TOWN OF SMITHFIELD,,NON,Approve,7647
Smithfield,8. TOWN SOLICITOR TOWN OF SMITHFIELD,,NON,Reject,2423
Smithfield,9. DIRECTOR OF HUMAN SERVICES TOWN OF SMITHFIELD,,NON,Approve,7385
Smithfield,9. DIRECTOR OF HUMAN SERVICES TOWN OF SMITHFIELD,,NON,Reject,2839
Smithfield,10. PLANNING BOARD TOWN OF SMITHFIELD,,NON,Reject,5439
Smithfield,10. PLANNING BOARD TOWN OF SMITHFIELD,,NON,Approve,4676
Smithfield,11. PLANNING BOARD TOWN OF SMITHFIELD,,NON,Approve,7576
Smithfield,11. PLANNING BOARD TOWN OF SMITHFIELD,,NON,Reject,2608
Smithfield,12. SMITHFIELD EMERGENCY MANAGEMENT AGENCY,,NON,Approve,6088
Smithfield,12. SMITHFIELD EMERGENCY MANAGEMENT AGENCY,,NON,Reject,4115
Smithfield,13. PARKS AND RECREATION TOWN OF SMITHFIELD,,NON,Approve,7412
Smithfield,13. PARKS AND RECREATION TOWN OF SMITHFIELD,,NON,Reject,2962
Smithfield,14. LAND TRUST TOWN OF SMITHFIELD,,NON,Approve,6636
Smithfield,14. LAND TRUST TOWN OF SMITHFIELD,,NON,Reject,3245
Smithfield,15. TOWN ENGINEER TOWN OF SMITHFIELD,,NON,Reject,5230
Smithfield,15. TOWN ENGINEER TOWN OF SMITHFIELD,,NON,Approve,5015
Smithfield,16. MANAGEMENT INTERNAL CONTROL PROGRAM,,NON,Approve,6157
Smithfield,16. MANAGEMENT INTERNAL CONTROL PROGRAM,,NON,Reject,3933
Smithfield,17. FINANCIAL PROCEDURES TOWN OF SMITHFIELD,,NON,Approve,5927
Smithfield,17. FINANCIAL PROCEDURES TOWN OF SMITHFIELD,,NON,Reject,4168
Smithfield,18. CAPITAL PROGRAM TOWN OF SMITHFIELD,,NON,Approve,5967
Smithfield,18. CAPITAL PROGRAM TOWN OF SMITHFIELD,,NON,Reject,4109
Smithfield,19. FINANCIAL PROCEDURES TOWN OF SMITHFIELD,,NON,Approve,8024
Smithfield,19. FINANCIAL PROCEDURES TOWN OF SMITHFIELD,,NON,Reject,2179
Smithfield,20. OTHER POST-EMPLOYMENT BENEFITS TRUST FUND,,NON,Approve,4994
Smithfield,20. OTHER POST-EMPLOYMENT BENEFITS TRUST FUND,,NON,Reject,4914
Smithfield,"21. SCHOOL COMMITTEE - VACANCIES, FORFEITURE OF OFFICE",,NON,Approve,6032
Smithfield,"21. SCHOOL COMMITTEE - VACANCIES, FORFEITURE OF OFFICE",,NON,Reject,4197
South Kingstown,President,,DEM,Joseph R. Biden,11254
South Kingstown,President,,REP,Donald J. Trump,5003
South Kingstown,President,,Lib,Jo Jorgensen,212
South Kingstown,President,,NON,WRITE-IN,121
South Kingstown,President,,All,Roque &quot;Rocky&quot; De La Fuente,38
South Kingstown,President,,AS,Brian Carroll,30
South Kingstown,President,,S&L,Gloria La Riva,30
South Kingstown,U.S. Senate,,DEM,John F. Reed,11615
South Kingstown,U.S. Senate,,REP,Allen R. Waters,4530
South Kingstown,U.S. Senate,,NON,WRITE-IN,37
South Kingstown,U.S. House,2,DEM,James R. Langevin,10735
South Kingstown,U.S. House,2,REP,Robert B. Lancia,5309
South Kingstown,U.S. House,2,NON,WRITE-IN,46
South Kingstown,State Senate,35,DEM,Bridget G. Valverde,418
South Kingstown,State Senate,35,REP,Charles P. Callanan,287
South Kingstown,State Senate,35,NON,WRITE-IN,1
South Kingstown,State Senate,37,DEM,Virginia S. Sosnowski,9401
South Kingstown,State Senate,37,REP,David A. Tacey,4279
South Kingstown,State Senate,37,NON,WRITE-IN,47
South Kingstown,State Senate,38,REP,Dennis L. Algiere,868
South Kingstown,State Senate,38,NON,WRITE-IN,69
South Kingstown,State House,33,DEM,Carol Hagan McEntee,3069
South Kingstown,State House,33,NON,WRITE-IN,122
South Kingstown,State House,34,DEM,Teresa A. Tanzi,2793
South Kingstown,State House,34,NON,WRITE-IN,140
South Kingstown,State House,35,DEM,Kathleen A. Fogarty,4386
South Kingstown,State House,35,NON,WRITE-IN,202
South Kingstown,State House,36,REP,Blake A. Filippi,1503
South Kingstown,State House,36,NON,WRITE-IN,104
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,DEM,Deborah D. Bergner,7816
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,DEM,Rory H. McEntee,7519
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,DEM,Abel G. Collins,7467
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,DEM,Deborah J. Kelso,6846
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,DEM,Jessica L. Rose,6744
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,Ind,Charles G. Sweet,6686
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,Ind,Alex M. Petrucci,6209
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,REP,James L. Lathrop,5115
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,Ind,Dorald W. Beasley,3989
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,Ind,David N. Laudati,3787
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,NON,WRITE-IN,92
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,DEM,Paula J. Whitford,7177
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,DEM,Christie L. Fish,7104
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,DEM,Michelle Brousseau,6796
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,DEM,Melissa A. Boyd,6717
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,Ind,Robert A. Hicks,6624
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,Ind,Paula L. Bradley,5748
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,Ind,Karen A. Humes,5257
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,Ind,Jacy A. Northup,4783
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,NON,WRITE-IN,92
South Kingstown,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,9065
South Kingstown,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,6603
South Kingstown,2. FINANCE CAPITAL IMPROVEMENT PROJECTS,,NON,Approve,11927
South Kingstown,2. FINANCE CAPITAL IMPROVEMENT PROJECTS,,NON,Reject,3690
Tiverton,President,,DEM,Joseph R. Biden,5123
Tiverton,President,,REP,Donald J. Trump,4017
Tiverton,President,,Lib,Jo Jorgensen,84
Tiverton,President,,NON,WRITE-IN,32
Tiverton,President,,All,Roque &quot;Rocky&quot; De La Fuente,17
Tiverton,President,,S&L,Gloria La Riva,10
Tiverton,President,,AS,Brian Carroll,9
Tiverton,U.S. Senate,,DEM,John F. Reed,5380
Tiverton,U.S. Senate,,REP,Allen R. Waters,3396
Tiverton,U.S. Senate,,NON,WRITE-IN,9
Tiverton,U.S. House,1,DEM,David N. Cicilline,5229
Tiverton,U.S. House,1,Ind,Frederick Wysocki,1658
Tiverton,U.S. House,1,Ind,Jeffrey Edward Lemire,1312
Tiverton,U.S. House,1,NON,WRITE-IN,39
Tiverton,State Senate,10,DEM,"Walter S. Felag, Jr.",2599
Tiverton,State Senate,10,REP,Mark W. Smiley,1748
Tiverton,State Senate,10,NON,WRITE-IN,4
Tiverton,State Senate,11,DEM,James Arthur Seveney,850
Tiverton,State Senate,11,NON,WRITE-IN,35
Tiverton,State Senate,12,DEM,Louis P. DiPalma,2188
Tiverton,State Senate,12,NON,WRITE-IN,80
Tiverton,State House,70,DEM,John G. Edwards,3525
Tiverton,State House,70,REP,Christopher M. Borden,2245
Tiverton,State House,70,NON,WRITE-IN,15
Tiverton,State House,71,DEM,Michelle E. McGaw,1536
Tiverton,State House,71,REP,Amy E. Veri,1097
Tiverton,State House,71,Ind,Nathan Joseph Melvin,145
Tiverton,State House,71,NON,WRITE-IN,5
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Denise M. deMedeiros,3743
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Deborah G. Janick,3453
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Jay P. Edwards,3437
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,"Joseph C. Perry, Jr.",3424
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,William J. Vieira,2788
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Donna J. Cook,2788
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Michael S. Burk,2518
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,J. Scott Burns,2407
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Nancy L. Driggs,2376
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Gavin Black,2338
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Joseph R. Sousa,2297
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,David J. Paull,2086
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Sheri M. Aakre,2050
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Robert D. Coulter,1804
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Joel A. Bishop,1695
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Raymond D. Fougere,1387
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,WRITE-IN,134
Tiverton,Non-Partisan Town Clerk TOWN OF TIVERTON,,NON,Joan B. Chabot,4177
Tiverton,Non-Partisan Town Clerk TOWN OF TIVERTON,,NON,Thomas R. Buchanan,2846
Tiverton,Non-Partisan Town Clerk TOWN OF TIVERTON,,NON,WRITE-IN,33
Tiverton,Non-Partisan Treasurer TOWN OF TIVERTON,,NON,Denise G. Saurette,6127
Tiverton,Non-Partisan Treasurer TOWN OF TIVERTON,,NON,WRITE-IN,56
Tiverton,Judge Of Probate TOWN OF TIVERTON,,DEM,Richard P. D&#39;Addario,6256
Tiverton,Judge Of Probate TOWN OF TIVERTON,,NON,WRITE-IN,105
Tiverton,Non-Partisan School Committee TOWN OF TIVERTON,,NON,Diane M. Farnworth,5020
Tiverton,Non-Partisan School Committee TOWN OF TIVERTON,,NON,Michael C. DeCotis,4639
Tiverton,Non-Partisan School Committee TOWN OF TIVERTON,,NON,Jerome M. Larkin,4435
Tiverton,Non-Partisan School Committee TOWN OF TIVERTON,,NON,WRITE-IN,168
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,David Perry,5657
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,WRITE-IN,1498
Tiverton,Town Sergeant TOWN OF TIVERTON,,NON,Kelly A. Levesque,5831
Tiverton,Town Sergeant TOWN OF TIVERTON,,NON,WRITE-IN,129
Tiverton,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,4168
Tiverton,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,4097
Warren,President,,DEM,Joseph R. Biden,3524
Warren,President,,REP,Donald J. Trump,2261
Warren,President,,Lib,Jo Jorgensen,74
Warren,President,,NON,WRITE-IN,38
Warren,President,,All,Roque &quot;Rocky&quot; De La Fuente,11
Warren,President,,AS,Brian Carroll,11
Warren,President,,S&L,Gloria La Riva,7
Warren,U.S. Senate,,DEM,John F. Reed,3816
Warren,U.S. Senate,,REP,Allen R. Waters,1827
Warren,U.S. Senate,,NON,WRITE-IN,10
Warren,U.S. House,1,DEM,David N. Cicilline,3624
Warren,U.S. House,1,Ind,Frederick Wysocki,1031
Warren,U.S. House,1,Ind,Jeffrey Edward Lemire,741
Warren,U.S. House,1,NON,WRITE-IN,37
Warren,State Senate,10,DEM,"Walter S. Felag, Jr.",3941
Warren,State Senate,10,REP,Mark W. Smiley,1747
Warren,State Senate,10,NON,WRITE-IN,10
Warren,State House,67,DEM,Jason Knight,2469
Warren,State House,67,NON,WRITE-IN,142
Warren,State House,68,DEM,June S. Speakman,1315
Warren,State House,68,Lib,"William J. Hunt, Jr.",819
Warren,State House,68,NON,WRITE-IN,11
Warren,Town Council TOWN OF WARREN,,Ind,Steven P. Calenda,3460
Warren,Town Council TOWN OF WARREN,,DEM,P. Brandt Heckert,3270
Warren,Town Council TOWN OF WARREN,,NON,WRITE-IN,123
Warren,Non-Partisan Bristol/Warren Regional School Committee,,NON,Tara Kee Thibaudeau,3311
Warren,Non-Partisan Bristol/Warren Regional School Committee,,NON,Nichola C. Piper,2667
Warren,Non-Partisan Bristol/Warren Regional School Committee,,NON,David Matheson,1796
Warren,Non-Partisan Bristol/Warren Regional School Committee,,NON,Daryl W. Gould,696
Warren,Non-Partisan Bristol/Warren Regional School Committee,,NON,WRITE-IN,63
Warren,Non-Partisan Charter Review Commission TOWN OF WARREN,,NON,Alexander Robert Galinelli,3519
Warren,Non-Partisan Charter Review Commission TOWN OF WARREN,,NON,John C. Bento,3193
Warren,Non-Partisan Charter Review Commission TOWN OF WARREN,,NON,WRITE-IN,502
Warren,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,2918
Warren,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,2609
Warwick,President,,DEM,Joseph R. Biden,25845
Warwick,President,,REP,Donald J. Trump,19578
Warwick,President,,Lib,Jo Jorgensen,545
Warwick,President,,NON,WRITE-IN,271
Warwick,President,,All,Roque &quot;Rocky&quot; De La Fuente,81
Warwick,President,,AS,Brian Carroll,68
Warwick,President,,S&L,Gloria La Riva,53
Warwick,U.S. Senate,,DEM,John F. Reed,28720
Warwick,U.S. Senate,,REP,Allen R. Waters,16293
Warwick,U.S. Senate,,NON,WRITE-IN,54
Warwick,U.S. House,2,DEM,James R. Langevin,26333
Warwick,U.S. House,2,REP,Robert B. Lancia,18623
Warwick,U.S. House,2,NON,WRITE-IN,88
Warwick,State Senate,29,DEM,Michael J. McCaffrey,9751
Warwick,State Senate,29,REP,Jean E. Trafford,5044
Warwick,State Senate,29,NON,WRITE-IN,83
Warwick,State Senate,30,DEM,Jeanine Calkin,10612
Warwick,State Senate,30,NON,WRITE-IN,872
Warwick,State Senate,31,DEM,Kendra Anderson,8224
Warwick,State Senate,31,REP,Scott M. Zambarano,6871
Warwick,State Senate,31,NON,WRITE-IN,23
Warwick,State House,19,DEM,Joseph McNamara,4523
Warwick,State House,19,Ind,"Patrick E. Maloney, Jr.",2743
Warwick,State House,19,NON,WRITE-IN,27
Warwick,State House,20,DEM,David A. Bennett,4535
Warwick,State House,20,NON,WRITE-IN,259
Warwick,State House,21,DEM,Camille F. Vella-Wilkinson,4140
Warwick,State House,21,REP,Ronald A. Loparto,2814
Warwick,State House,21,NON,WRITE-IN,32
Warwick,State House,22,DEM,"Joseph J. Solomon, Jr.",3570
Warwick,State House,22,Ind,Gerald Carbone,3213
Warwick,State House,22,NON,WRITE-IN,62
Warwick,State House,23,DEM,K. Joseph Shekarchi,5413
Warwick,State House,23,NON,WRITE-IN,329
Warwick,State House,24,DEM,Evan P. Shanley,6322
Warwick,State House,24,NON,WRITE-IN,352
Warwick,State House,26,REP,Patricia L. Morgan,432
Warwick,State House,26,DEM,James B. Jackson,402
Warwick,State House,26,NON,WRITE-IN,0
Warwick,State House,27,DEM,Patricia A. Serpa,632
Warwick,State House,27,NON,WRITE-IN,35
Warwick,Mayor CITY OF WARWICK,,Ind,Frank J. Picozzi,26625
Warwick,Mayor CITY OF WARWICK,,DEM,Joseph J. Solomon,18277
Warwick,Mayor CITY OF WARWICK,,NON,WRITE-IN,134
Warwick,Council Ward 1 Warwick,,DEM,William A. Foley,3175
Warwick,Council Ward 1 Warwick,,REP,Scott E. Phillips,2371
Warwick,Council Ward 1 Warwick,,NON,WRITE-IN,11
Warwick,Council Ward 2 Warwick,,DEM,Jeremy M. Rix,3776
Warwick,Council Ward 2 Warwick,,NON,WRITE-IN,201
Warwick,Council Ward 3 Warwick,,DEM,Timothy John Howe,2342
Warwick,Council Ward 3 Warwick,,REP,John M. Falkowski,1766
Warwick,Council Ward 3 Warwick,,NON,WRITE-IN,11
Warwick,Council Ward 4 Warwick,,DEM,James W. McElroy,3682
Warwick,Council Ward 4 Warwick,,NON,WRITE-IN,188
Warwick,Council Ward 5 Warwick,,DEM,Edgar N. Ladouceur,3682
Warwick,Council Ward 5 Warwick,,NON,WRITE-IN,258
Warwick,Council Ward 6 Warwick,,DEM,Donna M. Travis,2682
Warwick,Council Ward 6 Warwick,,REP,Thomas R. Trudell,2021
Warwick,Council Ward 6 Warwick,,NON,WRITE-IN,9
Warwick,Council Ward 7 Warwick,,DEM,"Stephen P. McAllister, II",3703
Warwick,Council Ward 7 Warwick,,NON,WRITE-IN,212
Warwick,Council Ward 8 Warwick,,DEM,Anthony E. Sinapi,3650
Warwick,Council Ward 8 Warwick,,NON,WRITE-IN,154
Warwick,Council Ward 9 Warwick,,DEM,Vincent J. Gebhart,2511
Warwick,Council Ward 9 Warwick,,REP,Armand T. Lusi,2028
Warwick,Council Ward 9 Warwick,,Ind,Aaron O. Mackisey,977
Warwick,Council Ward 9 Warwick,,Ind,Sean H. Henry,511
Warwick,Council Ward 9 Warwick,,NON,WRITE-IN,11
Warwick,Non-Partisan School Committee At-Large CITY OF WARWICK,,NON,David A. Testa,26021
Warwick,Non-Partisan School Committee At-Large CITY OF WARWICK,,NON,Karen A. Bachus,25741
Warwick,Non-Partisan School Committee At-Large CITY OF WARWICK,,NON,WRITE-IN,1614
Warwick,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,23213
Warwick,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,20389
Warwick,"2. SCHOOLS AND SCHOOL FACILITIES $56,000,000",,NON,Approve,32119
Warwick,"2. SCHOOLS AND SCHOOL FACILITIES $56,000,000",,NON,Reject,11056
West Greenwich,President,,REP,Donald J. Trump,2242
West Greenwich,President,,DEM,Joseph R. Biden,1693
West Greenwich,President,,Lib,Jo Jorgensen,41
West Greenwich,President,,NON,WRITE-IN,13
West Greenwich,President,,All,Roque &quot;Rocky&quot; De La Fuente,6
West Greenwich,President,,AS,Brian Carroll,3
West Greenwich,President,,S&L,Gloria La Riva,2
West Greenwich,U.S. Senate,,REP,Allen R. Waters,1958
West Greenwich,U.S. Senate,,DEM,John F. Reed,1906
West Greenwich,U.S. Senate,,NON,WRITE-IN,3
West Greenwich,U.S. House,2,REP,Robert B. Lancia,2174
West Greenwich,U.S. House,2,DEM,James R. Langevin,1690
West Greenwich,U.S. House,2,NON,WRITE-IN,4
West Greenwich,State Senate,21,REP,Gordon E. Rogers,930
West Greenwich,State Senate,21,NON,WRITE-IN,26
West Greenwich,State Senate,33,DEM,Leonidas P. Raptakis,1344
West Greenwich,State Senate,33,NON,WRITE-IN,82
West Greenwich,State Senate,34,REP,Elaine J. Morgan,517
West Greenwich,State Senate,34,DEM,Jennifer C. Douglas,264
West Greenwich,State Senate,34,NON,WRITE-IN,1
West Greenwich,State House,29,REP,Sherry Roberts,2332
West Greenwich,State House,29,NON,WRITE-IN,61
West Greenwich,State House,30,REP,Antonio Giarrusso,543
West Greenwich,State House,30,DEM,Justine A. Caldwell,352
West Greenwich,State House,30,NON,WRITE-IN,0
West Greenwich,Town Council TOWN OF WEST GREENWICH,,REP,Mark D. Tourgee,2472
West Greenwich,Town Council TOWN OF WEST GREENWICH,,REP,Mark D. Boyer,2287
West Greenwich,Town Council TOWN OF WEST GREENWICH,,REP,Linda Rekas Sloan,2230
West Greenwich,Town Council TOWN OF WEST GREENWICH,,REP,Thomas E. Mulcahey,2160
West Greenwich,Town Council TOWN OF WEST GREENWICH,,REP,Lee K. Kissinger,2037
West Greenwich,Town Council TOWN OF WEST GREENWICH,,DEM,Kelly A. Stewart,1620
West Greenwich,Town Council TOWN OF WEST GREENWICH,,NON,WRITE-IN,69
West Greenwich,School Committee TOWN OF WEST GREENWICH,,Ind,Andrea R. Munro,2990
West Greenwich,School Committee TOWN OF WEST GREENWICH,,NON,WRITE-IN,30
West Greenwich,Town Moderator TOWN OF WEST GREENWICH,,REP,Elaine M. Eccleston,3087
West Greenwich,Town Moderator TOWN OF WEST GREENWICH,,NON,WRITE-IN,41
West Greenwich,Town Sergeant TOWN OF WEST GREENWICH,,REP,Gregory C. Coutcher,3078
West Greenwich,Town Sergeant TOWN OF WEST GREENWICH,,NON,WRITE-IN,46
West Greenwich,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,2315
West Greenwich,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,1480
West Warwick,President,,DEM,Joseph R. Biden,7234
West Warwick,President,,REP,Donald J. Trump,6493
West Warwick,President,,Lib,Jo Jorgensen,143
West Warwick,President,,NON,WRITE-IN,73
West Warwick,President,,All,Roque &quot;Rocky&quot; De La Fuente,28
West Warwick,President,,AS,Brian Carroll,15
West Warwick,President,,S&L,Gloria La Riva,15
West Warwick,U.S. Senate,,DEM,John F. Reed,8253
West Warwick,U.S. Senate,,REP,Allen R. Waters,5223
West Warwick,U.S. Senate,,NON,WRITE-IN,14
West Warwick,U.S. House,2,DEM,James R. Langevin,7656
West Warwick,U.S. House,2,REP,Robert B. Lancia,5802
West Warwick,U.S. House,2,NON,WRITE-IN,21
West Warwick,State Senate,9,DEM,John P. Burke,7367
West Warwick,State Senate,9,REP,Jeffery L. Kozlin,5201
West Warwick,State Senate,9,NON,WRITE-IN,26
West Warwick,State Senate,27,DEM,Hanna M. Gallo,426
West Warwick,State Senate,27,REP,Pat V. Cortellessa,301
West Warwick,State Senate,27,Ind,Jonathan J. Keith,62
West Warwick,State Senate,27,NON,WRITE-IN,1
West Warwick,State House,25,DEM,Thomas E. Noret,3065
West Warwick,State House,25,NON,WRITE-IN,168
West Warwick,State House,26,REP,Patricia L. Morgan,2168
West Warwick,State House,26,DEM,James B. Jackson,1923
West Warwick,State House,26,NON,WRITE-IN,7
West Warwick,State House,27,DEM,Patricia A. Serpa,4287
West Warwick,State House,27,NON,WRITE-IN,244
West Warwick,Town Council Ward 4 West Warwick,,Ind,"Jason Licciardi, Sr.",2185
West Warwick,Town Council Ward 4 West Warwick,,NON,WRITE-IN,51
West Warwick,Town Council Ward 5 West Warwick,,DEM,John F. D&#39;Amico,2521
West Warwick,Town Council Ward 5 West Warwick,,NON,WRITE-IN,131
West Warwick,School Committee Ward 4 West Warwick,,DEM,Susan M. St. Amand,2078
West Warwick,School Committee Ward 4 West Warwick,,NON,WRITE-IN,101
West Warwick,School Committee Ward 5 West Warwick,,DEM,Stephen H. Lawton,2546
